id,название,цена,бренд,скидка,рейтинг,в наличии,id продавца,изображения,отзывы с текстом,рейтинг
167335742,Худи,5904.0,4:20 Shop,19,4,158,1213098,https://basket-12.wb.ru/vol1673/part167335/167335742/images/big/1.jpg;https://basket-12.wb.ru/vol1673/part167335/167335742/images/big/2.jpg;https://basket-12.wb.ru/vol1673/part167335/167335742/images/big/3.jpg;https://basket-12.wb.ru/vol1673/part167335/167335742/images/big/4.jpg;https://basket-12.wb.ru/vol1673/part167335/167335742/images/big/5.jpg;,17,4.1
161087167,Свитер,4203.0,4:20 Shop,19,4,101,1213098,https://basket-11.wb.ru/vol1610/part161087/161087167/images/big/1.jpg;https://basket-11.wb.ru/vol1610/part161087/161087167/images/big/2.jpg;https://basket-11.wb.ru/vol1610/part161087/161087167/images/big/3.jpg;https://basket-11.wb.ru/vol1610/part161087/161087167/images/big/4.jpg;https://basket-11.wb.ru/vol1610/part161087/161087167/images/big/5.jpg;,0,
195985952,Zip - худи,4203.0,4:20 Shop,19,3,120,1213098,https://basket-13.wb.ru/vol1959/part195985/195985952/images/big/1.jpg;https://basket-13.wb.ru/vol1959/part195985/195985952/images/big/2.jpg;https://basket-13.wb.ru/vol1959/part195985/195985952/images/big/3.jpg;https://basket-13.wb.ru/vol1959/part195985/195985952/images/big/4.jpg;https://basket-13.wb.ru/vol1959/part195985/195985952/images/big/5.jpg;https://basket-13.wb.ru/vol1959/part195985/195985952/images/big/6.jpg;,0,
195990740,Худи,3798.0,4:20 Shop,19,0,120,1213098,https://basket-13.wb.ru/vol1959/part195990/195990740/images/big/1.jpg;https://basket-13.wb.ru/vol1959/part195990/195990740/images/big/2.jpg;https://basket-13.wb.ru/vol1959/part195990/195990740/images/big/3.jpg;https://basket-13.wb.ru/vol1959/part195990/195990740/images/big/4.jpg;https://basket-13.wb.ru/vol1959/part195990/195990740/images/big/5.jpg;https://basket-13.wb.ru/vol1959/part195990/195990740/images/big/6.jpg;,0,
197884992,Футболка,720.0,4:20 Shop,19,5,105,1213098,https://basket-13.wb.ru/vol1978/part197884/197884992/images/big/1.jpg;https://basket-13.wb.ru/vol1978/part197884/197884992/images/big/2.jpg;https://basket-13.wb.ru/vol1978/part197884/197884992/images/big/3.jpg;https://basket-13.wb.ru/vol1978/part197884/197884992/images/big/4.jpg;https://basket-13.wb.ru/vol1978/part197884/197884992/images/big/5.jpg;https://basket-13.wb.ru/vol1978/part197884/197884992/images/big/6.jpg;,0,
195472386,Кепка,1287.0,4:20 Shop,19,0,50,1213098,https://basket-13.wb.ru/vol1954/part195472/195472386/images/big/1.jpg;https://basket-13.wb.ru/vol1954/part195472/195472386/images/big/2.jpg;https://basket-13.wb.ru/vol1954/part195472/195472386/images/big/3.jpg;https://basket-13.wb.ru/vol1954/part195472/195472386/images/big/4.jpg;https://basket-13.wb.ru/vol1954/part195472/195472386/images/big/5.jpg;,0,
197885288,Футболка,2097.0,4:20 Shop,19,4,28,1213098,https://basket-13.wb.ru/vol1978/part197885/197885288/images/big/1.jpg;https://basket-13.wb.ru/vol1978/part197885/197885288/images/big/2.jpg;https://basket-13.wb.ru/vol1978/part197885/197885288/images/big/3.jpg;https://basket-13.wb.ru/vol1978/part197885/197885288/images/big/4.jpg;https://basket-13.wb.ru/vol1978/part197885/197885288/images/big/5.jpg;,0,
197883763,Футболка,1854.0,4:20 Shop,19,5,18,1213098,https://basket-13.wb.ru/vol1978/part197883/197883763/images/big/1.jpg;https://basket-13.wb.ru/vol1978/part197883/197883763/images/big/2.jpg;https://basket-13.wb.ru/vol1978/part197883/197883763/images/big/3.jpg;https://basket-13.wb.ru/vol1978/part197883/197883763/images/big/4.jpg;https://basket-13.wb.ru/vol1978/part197883/197883763/images/big/5.jpg;https://basket-13.wb.ru/vol1978/part197883/197883763/images/big/6.jpg;,42,4.6
197882220,Футболка,2097.0,4:20 Shop,19,5,105,1213098,https://basket-13.wb.ru/vol1978/part197882/197882220/images/big/1.jpg;https://basket-13.wb.ru/vol1978/part197882/197882220/images/big/2.jpg;https://basket-13.wb.ru/vol1978/part197882/197882220/images/big/3.jpg;https://basket-13.wb.ru/vol1978/part197882/197882220/images/big/4.jpg;https://basket-13.wb.ru/vol1978/part197882/197882220/images/big/5.jpg;https://basket-13.wb.ru/vol1978/part197882/197882220/images/big/6.jpg;,0,5.0
196198103,Сумка Bape,1530.0,4:20 Shop,19,4,24,1213098,https://basket-13.wb.ru/vol1961/part196198/196198103/images/big/1.jpg;https://basket-13.wb.ru/vol1961/part196198/196198103/images/big/2.jpg;https://basket-13.wb.ru/vol1961/part196198/196198103/images/big/3.jpg;https://basket-13.wb.ru/vol1961/part196198/196198103/images/big/4.jpg;https://basket-13.wb.ru/vol1961/part196198/196198103/images/big/5.jpg;,0,
